Unique_Neighbourhoods,Exposure_Score,Rising_Star,Regulations
Achrafieh,4,Yes,Yes.
Albaicín,4,Yes,Yes.
Almenara,3,Yes,Yes.
Amsterdam Centrum,4,No,Yes
Angle RP Albert 1er. belvédère,3,Yes,Yes
Barrio Norte,4,Yes,Yes.
Belgrano Residencial,3,Yes,Yes.
Betaghstown,3,Yes,Yes
Boa Viagem,4,Yes,Yes.
Bondi,4,Yes,Yes.
Buttes-Chaumont - Belleville,4,Yes,Yes.
Camp d'en Grassot i Gràcia Nova,4,Yes,Yes.
Campo Marzo,3,No,Yes
Can Baro,3,Yes,Yes.
Carmel,3,Yes,Yes
Carmel Woods,3,Yes,Yes
Central Vancouver,4,Yes,Yes
Champs-Elysées,4,No,Yes.
Chicó Norte,4,Yes,Yes
Cihangir,4,Yes,Yes.
Ciutat Vella,5,No,Yes.
Colegiales,3,Yes,Yes.
Comercio,4,Yes,Yes
Commerce - Dupleix,3,Yes,Yes
Copacabana,4,Yes,Yes
Cortes,3,Yes,Yes
Crown Heights,4,Yes,Yes
De Beauvoir Town,3,Yes,Yes
Diagonal Mar,2,Yes,Yes.
Diagonal Mar - La Mar Bella,3,Yes,Yes
Dorp Soto,3,Yes,Yes.
Dreta de l'Eixample,4,Yes,Yes
Earls Court,4,Yes,Yes.
Edgewater,3,Yes,Yes
Eixample,4,Yes,Yes.
El Baix Guinardó,3,Yes,Yes
El Besòs i el Maresme,3,Yes,Yes
El Bon Pastor,3,Yes,Yes
El Born,4,Yes,Yes
El Camp de l'Arpa del Clot,3,Yes,Yes
El Clot,3,No,Yes.
El Coll,3,Yes,Yes.
El Congrés i els Indians,3,Yes,Yes
El Gòtic,4,No,Yes.
El Poble-sec,4,Yes,Yes
El Poblenou,4,Yes,Yes.
El Putget i Farró,3,Yes,Yes
El Raval,5,Yes,Yes
Estrella,3,Yes,Yes
Friedrichshain,4,Yes,Yes.
Gare du Nord - Gare de I'Est,4,Yes,Yes
Glòries - El Parc,4,Yes,Yes.
Goose Hollow,4,Yes,Yes
Gràcia,4,Yes,Yes
Guinardó,3,Yes,Yes
Hammersmith,3,No,Yes.
Horta,3,Yes,Yes
Hoxton,4,Yes,Yes
III Arrondissement,4,Yes,Yes
Ibiza,4,Yes,Yes.
Jordaan,4,No,Yes.
Józsefváros - District VIII.,4,Yes,Yes
Kauaʻi,4,Yes,Yes
Kolonaki,4,Yes,Yes
L'Antiga Esquerra de l'Eixample,4,Yes,Yes
LB of Brent,4,Yes,Yes
LB of Hackney,4,Yes,Yes.
La Barceloneta,4,Yes,Yes.
"La Blanca, San Marcos",3,Yes,Yes.
La Daille,3,Yes,Yes
La Font d'en Fargues,2,No,Yes
La Guineueta - Canyelles,3,No,Yes
La Maternitat i Sant Ramon,2,No,Yes
La Nova Esquerra de l'Eixample,4,Yes,Yes
La Prosperitat,3,Yes,Yes.
La Sagrada Família,4,Yes,Yes
La Sagrera,4,Yes,Yes.
La Salut,4,Yes,Yes.
La Teixonera,3,Yes,Yes
La Trinitat Vella,3,No,Yes
La Vall d'Hebron,3,No,Yes
La Verneda i La Pau,2,No,Yes.
La Vila Olímpica,4,Yes,Yes.
Le Marais,4,No,Yes
Les Corts,3,Yes,Yes
Les Corts (Nabe),3,Yes,Yes.
Les Tres Torres,3,Yes,Yes.
Llefià,3,No,Yes
Los Romanes,2,Yes,No.
Mijas Costa,3,Yes,Yes.
Mile End,4,Yes,Yes.
Mitte,4,Yes,Yes
Montbau,2,No,Yes
