Unique_Neighbourhoods,Exposure_Score,Rising_Star,Regulations
Anděl,4,Yes,Yes
Barrandov,3,Yes,Yes
Belárie,3,Yes,Yes.
Bližná,3,Yes,No.
Bohnice,2,No,Yes.
Braník,3,Yes,Yes.
Bubeneč,4,Yes,Yes.
Budějovické Předměstí,3,Yes,Yes
Břevnov,3,Yes,Yes
Chodov,3,Yes,Yes.
Dejvice,3,Yes,Yes
Dolní Měcholupy,2,No,Yes.
Dolní Počernice,2,No,Yes.
Flean More,3,Yes,No
Florenc,3,Yes,Yes.
Hanspaulka,3,Yes,Yes
Hloubětín,2,Yes,Yes.
Hlubočepy,2,No,Yes
Hodkovice,2,No,Yes.
Hodkovičky,2,Yes,Yes
Holešovice,4,Yes,Yes.
Horní Rokytnice,3,Yes,Yes
Hostavice,2,No,Yes
Hostivař,3,No,Yes
Hořejší Vrchlabí,2,No,Yes.
Hradčany,4,Yes,Yes
Hraničná,3,Yes,Yes
Invalidovna,3,Yes,Yes
Jinonice,2,Yes,Yes.
Josefov,4,No,Yes.
Kamýk,2,No,Yes
Karlín,4,Yes,Yes.
Kbely,2,No,Yes
Klánovice,2,No,Yes.
Kobylisy,3,Yes,Yes
Komořany,2,No,Yes
Košíře,3,Yes,Yes.
Krč,3,Yes,Yes.
Kunratice,2,No,Yes
Kyje,3,Yes,Yes
Lahovice,2,No,Yes.
Letná,4,Yes,Yes
Letňany,2,Yes,Yes.
Libeň,3,Yes,Yes
Liboc,3,Yes,Yes
Libuš,2,No,Yes.
Lincoln Heights,3,Yes,Yes
Mala Strana,4,Yes,Yes.
Malá Strana,4,Yes,Yes
Michle,3,Yes,Yes.
Midtown Atlanta,4,Yes,Yes
Mladá Boleslav I,3,Yes,No
Modřany,3,Yes,Yes.
Motol,3,Yes,Yes.
Město,4,Yes,Yes.
Můstek,4,Yes,Yes.
Nebušice,3,No,Yes
Northeast Orlando,3,Yes,Yes
Nové Město,4,Yes,Yes.
Nusle,3,Yes,Yes
Palmovka,3,Yes,Yes.
Parque Chacabuco,3,Yes,Yes
Petrovice,2,No,Yes
Petrská čtvrť,3,Yes,Yes
Place d'Italie - Quartier Chinois,4,Yes,Yes
Podolí,3,Yes,Yes
Prague 10,4,Yes,Yes.
Prague 11,2,Yes,Yes.
Prague 12,3,No,Yes.
Prague 13,2,Yes,Yes.
Prague 14,3,Yes,Yes
Prague 15,2,No,Yes.
Prague 16,2,No,Yes.
Prague 17,3,Yes,Yes.
Prague 18,3,Yes,Yes.
Prague 2,4,Yes,Yes.
Prague 20,2,Yes,Yes.
Prague 21,2,No,Yes
Prague 3,4,Yes,Yes
Prague 4,3,Yes,Yes.
Prague 5,3,Yes,Yes
Prague 6,3,Yes,Yes.
Prague 8,4,Yes,Yes.
Prague 9,3,Yes,Yes
Prosek,3,Yes,Yes.
Putney Heath,2,No,Yes
Písnice,2,No,Yes
Quaid Block,4,Yes,Yes
Radotín,3,Yes,Yes
Rohanský ostrov,3,Yes,Yes
Ruzyně,2,No,Yes.
Sant Pere/Santa Caterina,4,Yes,Yes.
Satalice,2,No,Yes
Sedlec,3,Yes,Yes
Smíchov,4,Yes,Yes
Staré Město,4,Yes,Yes
Staré Sedlo,2,No,Yes
Stodůlky,2,No,Yes
Strašnice,3,Yes,Yes.
Střešovice,3,No,Yes.
Střížkov,3,Yes,Yes.
Suomi Hloubětín,2,Yes,No.
Terézváros - District VI.,4,Yes,Yes
Točná,2,No,Yes.
Troja,3,Yes,Yes.
Třebonice,2,No,Yes
Uhříněves,2,Yes,No.
Veleslavín,3,Yes,Yes.
Velká Chuchle,2,No,Yes.
Vinohrady,4,Yes,Yes
Vokovice,3,Yes,No.
Vršovice,4,Yes,Yes.
Vysoká Lípa,2,No,Yes
Vysočany,3,Yes,Yes.
Vyšehrad,3,Yes,Yes
Zbraslav,3,No,Yes.
Zličín,2,No,Yes
Záběhlice,2,Yes,Yes.
Újezd u Průhonic,2,No,Yes
Častonice,2,No,Yes
Černý Most,3,Yes,Yes
Čimice,2,No,Yes
Čistá v Krkonoších,2,Yes,Yes
Řeporyje,2,No,Yes
Řepy,2,No,Yes.
Şişli,4,Yes,Yes.
Štěrboholy,2,No,Yes
Žižkov,4,Yes,Yes
,N/A,N/A,N/A
