id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
20785644,41.38376,2.13376,189,12,0,1,0
20786124,41.39432,2.15478,644,60,0,6,0
20793112,41.4107,2.13972,66,7,0,0,0
20796632,41.37561,2.15155,248,28,0,2,0
20799152,41.39598,2.18608,160,12,0,4,0
20807818,41.38605,2.16725,689,153,0,24,2
20812821,41.37139,2.14218,148,13,0,1,0
20816164,41.37439,2.16141,310,41,0,5,1
20825838,41.42496,2.15323,31,0,0,0,0
20840058,41.37623,2.15112,248,29,0,2,0
19968192,41.38079,2.16945,655,137,0,21,3
19974416,41.38327,2.17053,722,155,0,28,3
19976748,41.40128,2.16963,555,35,0,3,0
20844419,41.40825,2.17839,386,19,0,2,0
20846051,41.44364,2.18807,15,0,0,1,0
20847687,41.38837,2.17068,672,146,0,27,2
20855659,41.38404,2.18585,461,39,0,19,0
20856955,41.38301,2.18442,491,58,0,22,1
20862382,41.37919,2.17592,577,103,0,23,3
20866492,41.40622,2.17696,406,20,0,2,0
20883020,41.41264,2.16912,241,9,0,0,0
20885917,41.388,2.17939,554,98,0,24,2
20894086,41.38577570486125,2.160618054133168,613,108,0,10,1
21390932,41.393078,2.152677,577,55,0,3,0
21390934,41.393078,2.152677,577,55,0,3,0
21390935,41.393078,2.152677,577,55,0,3,0
21390937,41.393078,2.152677,577,55,0,3,0
21390938,41.374535,2.143472,191,18,0,1,0
21390945,41.374531,2.143429,191,18,0,1,0
21390951,41.374352,2.143439,193,18,0,1,0
21390954,41.374352,2.143439,193,18,0,1,0
21393496,41.37995,2.13745,206,14,0,0,0
21396298,41.39693,2.15534,651,58,0,3,0
20899279,41.39981,2.16453,612,45,0,4,0
20901527,41.40207,2.16917,560,30,0,1,0
20909180,41.43049,2.17194,33,1,0,1,0
20914955,41.40192,2.16149,542,38,0,1,0
20922232,41.42194,2.17373,58,1,0,1,0
20923328,41.37449,2.16336,321,45,0,5,1
20939600,41.36915,2.13544,135,7,0,0,0
20939681,41.38328,2.15755,549,70,0,6,0
21402130,41.38924,2.16866,659,137,0,22,2
21402206,41.391190945171424,2.161153280913004,684,109,0,7,1
21402659,41.384235,2.183663,507,61,0,23,1
21403737,41.38673,2.17327,721,146,0,30,2
21405741,41.37518,2.16393,358,54,0,6,1
21407746,41.37955,2.15581,399,38,0,2,1
21408803,41.37999,2.13545,207,14,0,1,0
21409342,41.38556,2.17329,723,152,0,31,2
21410162,41.384235,2.183663,507,61,0,23,1
21411086,41.384235,2.183663,507,61,0,23,1
20941854,41.38436,2.17178,746,154,0,29,2
20942007,41.38407,2.17132,745,156,0,29,3
20944224,41.38439,2.1732,705,152,0,30,2
20945165,41.39849,2.18095,316,23,0,3,0
20946113,41.41689,2.20648,22,3,0,0,0
20951424,41.3984,2.18112,311,23,0,3,0
20952335,41.39195,2.17972,401,60,0,14,0
20952345,41.40283,2.15292,414,23,0,0,0
20966731,41.37283,2.16776,257,45,0,4,1
20974127,41.3823,2.17193,704,147,0,26,3
20988790,41.39325,2.18964,161,10,0,4,0
21411730,41.384235,2.183663,507,61,0,23,1
21411905,41.39505,2.16938,536,88,0,10,0
21420221,41.404693603515625,2.176093101501465,423,21,0,2,0
21440842,41.42949,2.14109,12,1,0,0,0
21452721,41.37391,2.14678,191,27,0,2,0
21464483,41.3847,2.17272,727,152,0,31,2
21464493,41.37983,2.18097,543,81,0,22,1
21464594,41.38603,2.18324,478,56,0,24,1
21464595,41.39331,2.15509,631,65,0,7,0
21464611,41.37872,2.16609,542,115,0,15,3
21464612,41.38053,2.17576,605,120,0,25,3
21464614,41.39344,2.15425,628,57,0,6,0
21464686,41.37828,2.15732,385,40,0,4,1
21468414,41.41241,2.21719,35,4,0,0,0
21000077,41.4243,2.1968,17,0,0,0,0
21002036,41.40405,2.17092,491,23,0,2,0
21002245,41.38321,2.17361,681,152,0,27,2
21006757,41.37128,2.1705,197,33,0,3,1
21006862,41.4057,2.15225,336,14,0,1,0
21021261,41.40715,2.17631,399,20,0,2,0
21031764,41.37844,2.15823,403,45,0,4,1
21036809,41.4341,2.20794,12,2,0,0,0
21048957,41.41376,2.21749,34,3,0,0,0
21049329,41.4177,2.18264,115,4,0,1,0
21468861,41.4051091,2.2151651,55,6,0,0,0
21469954,41.38359,2.16852,709,150,0,25,3
21475610,41.43151,2.16837,31,0,0,1,0
21479197,41.40574,2.17527,416,19,0,2,0
21479433,41.40447,2.17557,428,21,0,2,0
21479593,41.39039,2.17998,419,68,0,16,1
21486278,41.42374,2.15171,27,0,0,0,0
21495664,41.4121,2.14146,55,6,0,0,0
21497701,41.37483426773836,2.1374898408231155,176,15,0,0,0
21500909,41.37612,2.17133,477,89,0,17,2
21501241,41.40759,2.14961,230,12,0,1,0
21050009,41.39003,2.17749,521,97,0,20,2
21050572,41.38337,2.17508,663,140,0,28,2
21053811,41.39193,2.18568,234,18,0,9,0
21064083,41.39505,2.17308,468,75,0,9,0
21073225,41.38546,2.16593,686,142,0,23,2
21095683,41.42242,2.15747,30,0,0,0,0
21101179,41.3904,2.17899,458,79,0,17,2
21106255,41.39751,2.1434,282,23,0,2,0
21108967,41.37985073144437,2.1874019783058407,364,30,0,13,0
21507995,41.40178,2.20608,141,6,0,2,0
21511919,41.38434,2.18363,506,61,0,23,1
21512135,41.38434,2.18365,506,61,0,23,1
21512625,41.38432,2.18363,507,61,0,23,1
21521482,41.40044,2.17135,515,42,0,3,0
21124661,41.38873,2.1606,632,113,0,8,1
21130203,41.38112,2.1532,396,40,0,0,0
21130291,41.38414,2.15111,439,33,0,0,0
21133289,41.415,2.21677,34,3,0,0,0
21138660,41.41697,2.19508,41,2,0,0,0
21147407,41.3903,2.19998,63,2,0,0,0
21148703,41.40538,2.17222,451,17,0,2,0
21163898,41.41265,2.21619,37,4,0,0,0
21527474,41.3889,2.17792,577,103,0,22,2
21533627,41.39992,2.15001,444,29,0,2,0
21538579,41.37243,2.16451,255,31,0,3,1
21547355,41.3865,2.15735,557,81,0,5,1
21557387,41.37233,2.1429,160,13,0,1,0
21559043,41.37236,2.13656,160,10,0,0,0
21571989,41.40179,2.16298,564,38,0,2,0
21573953,41.37228,2.12883,143,3,0,0,0
21578907,41.39068,2.17846,466,81,0,17,2
21166272,41.4134,2.21308,44,5,0,0,0
21177159,41.38874,2.17645,640,124,0,24,2
21179831,41.39772,2.14715,388,27,0,2,0
21182563,41.38677,2.18197,502,75,0,23,1
21195034,41.402798,2.164461,571,29,0,1,0
21195428,41.41699,2.18773,111,4,0,1,0
21198930,41.40674,2.17658,400,20,0,2,0
21201719,41.40986,2.17368,356,14,0,1,0
21202872,41.38226,2.17219,698,147,0,26,3
21209981,41.4171,2.21359,33,3,0,0,0
21600508,41.40588,2.17087,449,17,0,1,0
21600753,41.38074,2.17658,606,113,0,26,2
21601117,41.403,2.17401,459,25,0,2,0
21212975,41.38414,2.1816,542,88,0,25,1
21214815,41.38099,2.1354,217,14,0,1,0
21220019,41.40611,2.17895,400,22,0,3,0
21223971,41.3899,2.17757,525,100,0,20,2
21224320,41.38983,2.17586,591,119,0,23,2
21227215,41.38706,2.16138,635,116,0,11,1
21228141,41.40992,2.16156,269,9,0,1,0
21237696,41.39022,2.17756,515,88,0,18,2
21238607,41.4039,2.17661,425,23,0,3,0
21601734,41.40471,2.1769,422,21,0,3,0
21601860,41.40565,2.1751,418,19,0,2,0
21601949,41.40552,2.17514,422,19,0,2,0
21620967,41.43599,2.19498,19,0,0,1,0
21240447,41.39825,2.16225,668,53,0,3,0
21240794,41.41404,2.18182,244,9,0,1,0
21257656,41.40505,2.16304,471,19,0,1,0
21263321,41.39413,2.17713,402,60,0,8,0
21271067,41.38409,2.18153,546,88,0,25,1
21275294,41.37981,2.16748,603,126,0,18,3
21286007,41.39116,2.16509,665,126,0,9,1
21295247,41.39826,2.16887,550,63,0,4,0
21307144,41.40386,2.17076,501,23,0,2,0
21629636,41.37921,2.15729,407,42,0,4,1
21641627,41.37794,2.13658,202,15,0,0,0
21646749,41.42169,2.18085,65,1,0,1,0
21307242,41.38459,2.17967,588,106,0,25,2
21309904,41.39108,2.15344,572,56,0,6,0
21311663,41.42967,2.18501,33,1,0,0,0
21333943,41.39258,2.19769,98,2,0,0,0
21334527,41.40454,2.17795,421,23,0,3,0
21344553,41.3886671,2.1048489,12,2,0,0,0
21366324,41.41488,2.19182,101,4,0,1,0
21373867,41.37635,2.13369,175,11,0,0,0
21653679,41.384235,2.183663,507,61,0,23,1
21653684,41.384235,2.183663,507,61,0,23,1
21653693,41.384235,2.183663,507,61,0,23,1
21653699,41.384235,2.183663,507,61,0,23,1
21653703,41.384235,2.183663,507,61,0,23,1
21653707,41.384235,2.183663,507,61,0,23,1
21653709,41.384235,2.183663,507,61,0,23,1
21654365,41.382465,2.172445,696,147,0,26,3
21658683,41.38269,2.17208,705,151,0,27,3
21664925,41.40406,2.14197,149,14,0,1,0
21664939,41.38039,2.17997,594,89,0,22,1
21670806,41.41272,2.17559,282,12,0,1,0
21378611,41.38095,2.17938,595,93,0,26,1
21380863,41.4031,2.16615,570,28,0,1,0
21381752,41.37905,2.14885,267,29,0,0,0
21388443,41.38139,2.13597,213,14,0,1,0
21389251,41.38123195229844,2.1351952088058006,217,14,0,1,0
21390908,41.392864,2.15257,562,54,0,3,0
21390911,41.392864,2.15257,562,54,0,3,0
21390925,41.392864,2.15257,562,54,0,3,0
21671770,41.39707,2.19352,183,5,0,2,0
21390929,41.392864,2.15257,562,54,0,3,0
21721753,41.39189,2.1752,502,91,0,18,2
21721760,41.38997,2.16656,640,128,0,16,2
21721800,41.39193,2.15505,618,64,0,7,0
21721812,41.41133,2.17811,325,12,0,2,0
21721851,41.4121,2.17584,296,12,0,1,0
21721888,41.41249,2.17659,287,12,0,1,0
