id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
845010610218630445,41.4017253,2.2077198,131,6,0,2,0
845337887153937080,41.38194277657931,2.16826058288391,689,144,0,23,3
845420411760023384,41.37886514124426,2.157312117910468,395,41,0,4,1
845559205641002061,41.38987053651429,2.149953673619964,490,36,0,1,0
845670990421544690,41.41989,2.15308,34,1,0,1,0
849010473355090427,41.4057322,2.1487462,271,16,0,1,0
849018981310314253,41.39782417612576,2.201354872136124,153,2,0,1,0
849022033420311498,41.4057322,2.1487462,271,16,0,1,0
849033323113738402,41.3987005,2.2010575,160,3,0,1,0
849042635414662644,41.39968162021404,2.201961992973492,164,3,0,2,0
846004853225449054,41.39168528741282,2.1777288019926,446,78,0,15,2
846093318788581404,41.37952666899183,2.146599185782659,257,27,0,0,0
846121214346059366,41.3844414985042,2.1547305471372904,492,56,0,2,0
846128345212277338,41.38629,2.15484,525,64,0,5,0
846131299901940313,41.38641628632934,2.156275324982018,548,75,0,5,0
846184137587815814,41.38318283800518,2.1824605339226784,545,76,0,23,1
846184430918401507,41.38349,2.182,550,84,0,23,1
846198588008748382,41.4381253,2.1751468,23,1,0,0,0
846199567435612629,41.376823881877165,2.145733350320832,227,27,0,1,0
849067398590161369,41.37977762770426,2.154732661812988,380,40,0,2,0
849134788613009931,41.39648630392434,2.149144184353476,476,36,0,2,0
849166104145532925,41.39645198106646,2.1476450641206872,403,30,0,2,0
849171936176131169,41.39687855170009,2.1495483839496927,504,36,0,2,0
849186293909942372,41.3984913491934,2.148910769788154,454,32,0,2,0
849200148683298512,41.39839729081662,2.147591348265779,413,29,0,2,0
849205218927591001,41.39843322435544,2.147545511213591,407,28,0,2,0
849206884754236196,41.41827449030244,2.189628736260212,65,3,0,1,0
849209831229100223,41.39877105964886,2.1493590089499954,450,31,0,2,0
849218689400365559,41.39655391377096,2.148452929456204,446,33,0,2,0
849233815046675162,41.42264612366082,2.147114871697186,26,1,0,0,0
846230032385844092,41.3925578,2.1557107,625,68,0,7,0
846250382085639382,41.38086,2.15719,464,55,0,3,1
846285378398548574,41.40472,2.1557107,406,16,0,1,0
846310867748248097,41.384220328452216,2.168596519442693,715,149,0,25,3
846312137583081003,41.4012958,2.1415623,173,17,0,1,0
853309287114579040,41.3856324646024,2.1564416488666187,528,72,0,5,0
853310029967760481,41.38558587475146,2.1582075373035794,565,78,0,8,1
853346857041943154,41.4049909,2.141284,135,11,0,1,0
849246830524825260,41.41045541230057,2.2186755216299825,38,5,0,0,0
849301808867693962,41.397028,2.1821973,262,22,0,5,0
849327019076693543,41.38406214359106,2.1636213042287182,641,121,0,18,3
849327140939998735,41.38235293901019,2.1619965264560568,604,105,0,10,3
853354848526376761,41.38269930328042,2.169307356678288,725,154,0,25,3
853377448782483198,41.39141523972806,2.197340770714268,82,2,0,0,0
853382701075512414,41.3973762013384,2.196828927844763,193,2,0,2,0
853387667131016660,41.38909878137316,2.137960309895047,216,10,0,2,0
853400657591895655,41.38392287351127,2.1756714303848432,651,139,0,28,2
853408996811703076,41.38254,2.18994,321,17,0,9,0
853426496217356218,41.3763925,2.123353,89,5,0,1,0
849327243561282742,41.382511990066746,2.161433108693742,596,100,0,10,3
849327508408447831,41.38458,2.16306,627,126,0,15,3
849427626663947834,41.41210346116738,2.147991677024634,85,8,0,1,0
849445173497661607,41.37948015247736,2.1687352810877227,613,128,0,19,3
849729562695392039,41.375812305016304,2.123126043444407,90,5,0,1,0
849749777959984368,41.37423254907012,2.1272270930913098,140,5,0,1,0
849754301192450068,41.37416,2.12561,118,5,0,1,0
849950707540307230,41.41169328305913,2.16595990931829,237,9,0,1,0
853430010762388729,41.38583879999999,2.1320012,164,10,0,1,0
853514700958359994,41.37429,2.12723,142,5,0,1,0
853516243233238117,41.38531922971168,2.181236253579143,550,86,0,25,1
