id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
23163,50.08229,14.41552,499,154,0,49,0
23169,50.0883,14.42272,495,141,0,51,0
26755,50.08729,14.43179,416,109,0,35,0
30762,50.08821,14.42623,472,131,0,48,0
42514,50.08228,14.41345,460,146,0,44,0
52148,50.06996574291571,14.430666050424191,178,93,0,11,0
55844,50.07795,14.43388,319,123,0,13,0
55856,50.07617,14.43308,276,113,0,15,0
70003,50.08557,14.45098,185,38,0,2,0
75298,50.092285,14.4329,289,64,0,23,0
79373,50.08844,14.42424,483,131,0,48,0
79381,50.08943,14.42373,462,129,0,47,0
79387,50.08943,14.42373,462,129,0,47,0
79711,50.08051,14.41487,449,143,0,39,0
83067,50.08409,14.41352,483,145,0,50,0
83855,50.08409,14.41352,483,145,0,50,0
83856,50.08385,14.41463,512,156,0,51,0
85790,50.07744,14.4141,359,104,0,24,0
98852,50.08588,14.42145,537,167,0,54,0
106207,50.08766,14.451,175,37,0,2,0
109549,50.09104,14.42533,381,104,0,38,0
111141,50.08589,14.45203,184,37,0,2,0
112281,50.07905,14.42732,453,166,0,35,0
117451,50.06625,14.40245,102,15,0,2,0
146690,50.08529,14.44532,206,50,0,3,0
167878,50.10546,14.4707,35,3,0,1,0
173114,50.091067734318685,14.423598800541122,388,106,0,46,0
176243,50.08827218384488,14.42322947611544,496,141,0,52,0
181641,50.08685,14.41432,456,137,0,51,0
181951,50.08267,14.42895,535,181,0,37,0
182072,50.0795,14.44812,200,32,0,2,0
182772,50.08354,14.41276,458,140,0,48,0
183338,50.0792350769043,14.429807662963867,422,154,0,30,0
186750,50.08499,14.45316,167,36,0,2,0
191254,50.08136,14.41477,460,146,0,47,0
199947,50.08051186676624,14.420989570206713,479,166,0,48,0
202545,50.07912,14.40417,218,65,0,14,0
207373,50.07688,14.41391,349,90,0,21,0
208007,50.07687,14.41414,350,91,0,21,0
209774,50.07923186310829,14.419146421482573,429,149,0,45,0
224386,50.09146,14.41863,354,118,0,45,0
224457,50.08737,14.41071,367,127,0,52,0
247267,50.08704,14.43397,369,97,0,29,0
254484,50.086,14.40397,206,84,0,37,0
278550,50.08102,14.41932,481,152,0,48,0
278580,50.07922,14.42084,438,160,0,45,0
279773,50.08915,14.4186,432,141,0,55,0
287716,50.08229,14.41552,499,154,0,49,0
287727,50.08821,14.42623,472,131,0,48,0
287734,50.08821,14.42623,472,131,0,48,0
304027,50.07472,14.4226,315,129,0,22,0
318204,50.07306,14.4311,241,102,0,14,0
320262,50.07396,14.43007,270,113,0,15,0
324586,50.09227,14.43225,293,69,0,23,0
342963,50.05381,14.53234,12,1,0,0,0
342968,50.053535,14.531203,14,1,0,0,0
346142,50.07583,14.41401,328,81,0,17,0
374937,50.07858,14.42901,406,151,0,25,0
408724,50.08779,14.45004,174,40,0,2,0
415145,50.09123,14.42331,396,104,0,44,0
448629,50.0876,14.39812,142,65,0,27,0
458931,50.08427047729492,14.43051528930664,498,152,0,36,0
