id,restaurant_count,hotel_count,museum_count,shopping_center_count
18674,444,18,2,0
23197,30,3,0,0
32711,460,18,1,0
34241,617,128,26,3
34981,591,106,24,3
36463,545,88,25,1
36763,260,8,4,0
40983,549,80,9,0
41952,462,19,1,0
49968,458,18,1,0
58512,301,9,1,0
331026,413,55,5,1
335861,151,6,2,0
337755,96,6,3,0
341563,189,9,2,0
343858,569,38,2,0
343861,606,45,4,0
343864,336,5,1,0
68547,600,98,27,2
71520,19,1,0,0
71553,448,54,7,0
71736,651,132,21,3
343866,427,21,1,0
343972,146,19,2,0
345129,752,155,30,2
346018,189,14,5,0
347824,151,3,1,0
351395,381,50,13,0
352772,353,37,0,0
353640,502,57,23,1
72436,128,5,1,0
72793,636,128,17,3
72794,666,129,19,3
73683,464,19,1,0
75411,266,8,2,0
80004,315,52,6,1
357576,394,17,1,0
359841,136,7,2,0
360863,124,2,1,0
363601,628,125,22,3
364030,362,53,5,1
365911,335,37,1,0
370665,549,87,25,1
83283,598,99,10,3
89756,553,114,17,3
89776,418,63,14,0
373667,567,89,24,1
377161,33,1,1,0
384063,423,55,6,0
384155,523,73,23,1
384464,642,128,22,2
385049,506,63,22,1
95719,579,104,25,2
97529,350,10,1,0
110041,579,30,1,0
112538,412,18,2,0
117010,415,18,2,0
118228,412,18,2,0
128463,156,10,0,0
135513,147,3,1,0
136670,71,5,2,0
393717,575,120,15,3
399772,355,35,0,0
402369,590,99,27,2
408599,279,28,3,1
417239,424,22,1,0
424137,609,115,24,3
424294,551,92,21,2
138055,412,18,2,0
144471,531,64,7,2
147275,59,0,1,0
153376,637,134,27,2
425639,120,14,1,0
432482,687,108,7,1
438102,312,23,3,0
439057,576,49,1,0
443110,507,46,3,0
443222,354,16,1,0
443909,499,93,22,2
449999,601,122,23,2
154437,516,48,1,0
162091,414,18,2,0
171646,286,10,2,0
171816,293,10,2,0
451758,645,136,20,3
456333,419,32,3,0
462062,299,33,1,0
469157,592,99,27,2
469177,328,38,3,1
469710,538,82,10,0
472062,671,53,3,0
473395,549,47,2,0
174382,414,18,2,0
188267,439,73,14,1
190348,84,6,1,0
473459,536,44,2,0
477256,200,2,2,0
480975,245,33,3,1
481739,645,68,7,0
482801,164,6,0,0
485222,160,8,2,0
487233,250,35,3,1
490517,538,23,1,0
490803,496,24,2,0
196021,638,117,10,1
196196,412,18,2,0
493122,209,5,3,0
494834,346,10,1,0
498416,734,156,28,3
502436,587,103,23,3
503765,498,62,6,0
504657,576,96,25,2
