id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
18674,41.40556,2.17262,444,18,0,2,0
23197,41.41243172529066,2.219750335269476,30,3,0,0,0
32711,41.40566,2.17015,460,18,0,1,0
34241,41.38062,2.17517,617,128,0,26,3
34981,41.37978,2.17623,591,106,0,24,3
36463,41.38512,2.18109,545,88,0,25,1
36763,41.38043,2.19094,260,8,0,4,0
40983,41.39631,2.16832,549,80,0,9,0
41952,41.40568,2.16943,462,19,0,1,0
49968,41.4057,2.17016,458,18,0,1,0
58512,41.41129,2.18193,301,9,0,1,0
331026,41.37793,2.15978,413,55,0,5,1
335861,41.40349,2.20414,151,6,0,2,0
337755,41.39253234863281,2.19325590133667,96,6,0,3,0
341563,41.3826,2.13075,189,9,0,2,0
343858,41.40172,2.16322,569,38,0,2,0
343861,41.39993,2.16536,606,45,0,4,0
343864,41.40735,2.15885,336,5,0,1,0
68547,41.3806,2.17796,600,98,0,27,2
71520,41.41841,2.13307,19,1,0,0,0
71553,41.39705,2.17469,448,54,0,7,0
71736,41.38174,2.16663,651,132,0,21,3
343866,41.40399,2.15565,427,21,0,1,0
343972,41.37184,2.14799,146,19,0,2,0
345129,41.38512,2.17129,752,155,0,30,2
346018,41.3922,2.18805,189,14,0,5,0
347824,41.3764,2.19102,151,3,0,1,0
351395,41.39271,2.17974,381,50,0,13,0
352772,41.38184,2.15119,353,37,0,0,0
353640,41.38422,2.18412,502,57,0,23,1
72436,41.39909,2.20733,128,5,0,1,0
72793,41.38104,2.16565,636,128,0,17,3
72794,41.38214,2.16568,666,129,0,19,3
73683,41.40554,2.17017,464,19,0,1,0
75411,41.40682,2.18649,266,8,0,2,0
80004,41.37371,2.16706,315,52,0,6,1
357576,41.40508,2.15491,394,17,0,1,0
359841,41.40502,2.20802,136,7,0,2,0
360863,41.38428,2.19576,124,2,0,1,0
363601,41.37961,2.17306,628,125,0,22,3
364030,41.375553476091895,2.1625359295673867,362,53,0,5,1
365911,41.37911,2.15356,335,37,0,1,0
370665,41.38545,2.18117,549,87,0,25,1
83283,41.38237,2.16146,598,99,0,10,3
89756,41.37861,2.16737,553,114,0,17,3
89776,41.39224,2.17806,418,63,0,14,0
373667,41.38148,2.18123,567,89,0,24,1
377161,41.41892,2.14871,33,1,0,1,0
384063,41.39639,2.17641,423,55,0,6,0
384155,41.38416,2.18257,523,73,0,23,1
384464,41.38992,2.16974,642,128,0,22,2
385049,41.38203,2.18362,506,63,0,22,1
95719,41.38496,2.17982,579,104,0,25,2
97529,41.408790588378906,2.1660659313201904,350,10,0,1,0
110041,41.40271,2.16646,579,30,0,1,0
112538,41.40653,2.1746,412,18,0,2,0
117010,41.40647,2.17457,415,18,0,2,0
118228,41.40653,2.1746,412,18,0,2,0
128463,41.37155,2.13664,156,10,0,0,0
135513,41.39787,2.20429,147,3,0,1,0
136670,41.38832,2.12201,71,5,0,2,0
393717,41.3795,2.16568,575,120,0,15,3
399772,41.38268,2.15044,355,35,0,0,0
402369,41.38035,2.17821,590,99,0,27,2
408599,41.37374,2.15852,279,28,0,3,1
417239,41.40413,2.15692,424,22,0,1,0
