id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count,dist_to_sagrada_familia,dist_to_casa_milà,dist_to_casa_batlló,dist_to_parc_güell,dist_to_la_rambla,dist_to_montjuïc
18674,41.40556,2.17262,444,18,0,2,0,0.26370086402662996,1.4494952457176655,1.6702760277669126,1.93595570828297,2.6420104199880576,4.967030943863009
23197,41.41243172529066,2.219750335269476,30,3,0,0,0,3.9075545861487706,5.187367218056281,5.122831927541193,5.59613956399452,5.20912352921345,7.825593911859245
32711,41.40566,2.17015,460,18,0,1,0,0.4220329817516398,1.3418492659600703,1.6128659418957585,1.7561260878021707,2.6603430371050147,4.910766180792985
34241,41.38062,2.17517,617,128,0,26,3,2.5560666017011684,1.9723256502998272,1.5006691756862889,4.2077643952971036,0.2585351012218177,2.693603511502716
34981,41.37978,2.17623,591,106,0,24,3,2.6530587445069105,2.0993698493933413,1.6279597646740809,4.330942174105023,0.38379734052362713,2.6939989504373516
36463,41.38512,2.18109,545,88,0,25,1,2.1293103596380307,1.9606293476852688,1.5360724126223728,4.034846789783403,0.8061565674461499,3.396637428828037
36763,41.38043,2.19094,260,8,0,4,0,2.9225790606651856,2.9331084439795565,2.50795808718351,4.9523766647373275,1.5460239781634026,3.7352544946075743
40983,41.39631,2.16832,549,80,0,9,0,0.956172201783393,0.5471670187441261,0.5866466444803845,2.4058613352881464,1.6506906421812333,3.877891257665252
41952,41.40568,2.16943,462,19,0,1,0,0.47467064521238295,1.3140193036233239,1.5997672899936044,1.7054194928098396,2.667655276985395,4.89490853144598
49968,41.4057,2.17016,458,18,0,1,0,0.42376717460076885,1.3460962321252834,1.6173731428208844,1.7543321244306238,2.664717524834495,4.9152564281385285
58512,41.41129,2.18193,301,9,0,1,0,1.0609213578641923,2.439707804940999,2.600501238482311,2.463542805938693,3.3721600681669015,5.854234868548265
331026,41.37793,2.15978,413,55,0,5,1,3.1040117261654325,1.9395365822568253,1.5896198972663202,4.1090589811683795,1.1452098601730283,1.7143747381103702
335861,41.40349,2.20414,151,6,0,2,0,2.4804649708862705,3.6390048726263573,3.5258605879530074,4.461210819917302,3.575333222509338,6.200971307395443
337755,41.39253234863281,2.19325590133667,96,6,0,3,0,1.997050110641531,2.6336374275159846,2.3672213584903057,4.172315988466549,2.102966249130762,4.699409150655075
341563,41.3826,2.13075,189,9,0,2,0,4.325595473784803,2.957541998634514,3.023324294615391,3.9917526829309753,3.484396039184603,2.7689515105209788
343858,41.40172,2.16322,569,38,0,2,0,0.9556147474716401,0.7223121378201249,1.1229511232076086,1.6700848589085369,2.346383254338318,4.337316738682245
343861,41.39993,2.16536,606,45,0,4,0,0.857344024919529,0.590207483311444,0.9159383038303707,1.9337900833087374,2.1021120230399135,4.186262791088083
343864,41.40735,2.15885,336,5,0,1,0,1.3622797656281456,1.363834186629318,1.8118898729349624,0.9461166085458621,3.0607046324711304,4.896310666245823
68547,41.3806,2.17796,600,98,0,27,2,2.5746674304352455,2.113490051731335,1.6463660159883475,4.318396911971646,0.4746824864358395,2.862472556063544
71520,41.41841,2.13307,19,1,0,0,0,3.81989801751082,3.519182245107259,3.9835114027797376,1.693650627448717,5.233349924997288,6.300058418484585
71553,41.39705,2.17469,448,54,0,7,0,0.7287283168802339,1.0844592500402455,1.0103459509670685,2.669922548076818,1.705535838983799,4.165985282632303
71736,41.38174,2.16663,651,132,0,21,3,2.5156536249941044,1.5585805819047993,1.1168659612443574,3.82356410461358,0.4897909166746134,2.349134164474192
343866,41.40399,2.15565,427,21,0,1,0,1.5644200684200646,1.0979366149404612,1.5693479121959542,1.1942734393385002,2.839685785272603,4.500376948298501
343972,41.37184,2.14799,146,19,0,2,0,4.1624631375832895,2.8551252928681055,2.6205304002497773,4.759818911498111,2.3257000542279282,0.9812929627723304
345129,41.38512,2.17129,752,155,0,30,2,2.071193224733302,1.3765682372830181,0.9052622972359294,3.616206055945467,0.38272091162335337,2.874606513492666
346018,41.3922,2.18805,189,14,0,5,0,1.7038757652144423,2.208411008605083,1.9319471311887608,3.8524482291078637,1.7378761131251232,4.365875244539406
347824,41.3764,2.19102,151,3,0,1,0,3.3271448349265396,3.2122530929844797,2.7646202687774895,5.307106630815591,1.6577868414549295,3.538300622935296
351395,41.39271,2.17974,381,50,0,13,0,1.2902339193741155,1.515756796547061,1.2430151435390928,3.310096966294632,1.3551797049011378,3.9695721984294443
352772,41.38184,2.15119,353,37,0,0,0,3.0988817258211343,1.7430827759185055,1.5843766357575784,3.6338097264214655,1.7779387881811906,2.029945716095422
353640,41.38422,2.18412,502,57,0,23,1,2.3024444859415256,2.2257281217323186,1.8062971043885285,4.266703073987899,1.0061134480582319,3.51442469129277
72436,41.39909,2.20733,128,5,0,1,0,2.791993720102968,3.812775694917297,3.633415833957814,4.867696661253144,3.4840263255339834,6.06052516657143
72793,41.38104,2.16565,636,128,0,17,3,2.6125908630943564,1.6162058452525674,1.1869881741596016,3.874211668246179,0.577726078127462,2.2405932112821323
72794,41.38214,2.16568,666,129,0,19,3,2.494648341408929,1.4969166434186145,1.0650132827558108,3.7576199291513457,0.5702586622057494,2.348449830127951
73683,41.40554,2.17017,464,19,0,1,0,0.413518392957109,1.3312754435807939,1.6004853540878148,1.7650071324864778,2.646913088275858,4.898570876456474
75411,41.40682,2.18649,266,8,0,2,0,1.0700114142150563,2.4181403226427953,2.463651736277986,2.9444705782927927,3.016939560682377,5.5928451805373
80004,41.37371,2.16706,315,52,0,6,1,3.3795514915166316,2.4389906427426253,2.0084976634830713,4.691150928965293,1.007593115876825,1.6737690325470564
357576,41.40508,2.15491,394,17,0,1,0,1.6338332229668675,1.2339139540904704,1.7052435947177333,1.063547311958448,2.9755545166345057,4.617903576818109
359841,41.40502,2.20802,136,7,0,2,0,2.8084514500126816,3.995744429601873,3.8896941510208807,4.732364008296601,3.9300952024080154,6.549805902265988
360863,41.38428,2.19576,124,2,0,1,0,2.791029615147677,3.078995599871745,2.703441474113694,4.918467031975837,1.9600844398167883,4.301050189477742
363601,41.37961,2.17306,628,125,0,22,3,2.669907320922476,1.9775222989699845,1.5068866866117376,4.235016375497724,0.2479586285154968,2.489804522114607
364030,41.375553476091895,2.1625359295673867,362,53,0,5,1,3.2719127443632985,2.1963541399195305,1.8062125000444138,4.407691037918124,1.0833306751202467,1.5844881021236823
365911,41.37911,2.15356,335,37,0,1,0,3.2307711495717846,1.9300189074078091,1.6896399246700604,3.9358422300570424,1.6082926553111616,1.7283631112245794
370665,41.38545,2.18117,549,87,0,25,1,2.095708712422225,1.9451835801904271,1.5248712045513988,4.009139395018474,0.8294190763437119,3.427288044151695
83283,41.38237,2.16146,598,99,0,10,3,2.595748236215854,1.4382188818749522,1.07641012736817,3.6466454795241217,0.9232622287110905,2.2255667189070336
89756,41.37861,2.16737,553,114,0,17,3,2.839969802353088,1.9111246096137082,1.4700559788765837,4.174174886519069,0.5558941350824987,2.0947810375922415
89776,41.39224,2.17806,418,63,0,14,0,1.2995416265246795,1.3902909464169897,1.0994329732904746,3.255823926577746,1.2501128803023287,3.846738122275379
373667,41.38148,2.18123,567,89,0,24,1,2.524757154504388,2.2275296208654423,1.7740940787196289,4.3753999954841145,0.7292309009023201,3.133798241096044
377161,41.41892,2.14871,33,1,0,1,0,2.737112815785742,2.847488052125454,3.3142585105147124,0.5935091288038814,4.5797462555242525,6.158189048121986
384063,41.39639,2.17641,423,55,0,6,0,0.8190571027201282,1.2163888086447914,1.0926104808800994,2.822314874236366,1.6547997829269008,4.168222408730136
384155,41.38416,2.18257,523,73,0,23,1,2.2665171780720037,2.1231367994468613,1.6958507066727277,4.19390143358462,0.8801739484711463,3.4129758854336734
384464,41.38992,2.16974,642,128,0,22,2,1.5700245673294182,0.8863352155641389,0.449658462885472,3.0806053408214304,0.9318004433896308,3.2721768305778447
385049,41.38203,2.18362,506,63,0,22,1,2.51877216001131,2.3367559961501576,1.8960889914414787,4.437032827786044,0.9281135132806144,3.3276895902406602
95719,41.38496,2.17982,579,104,0,25,2,2.121410453971454,1.885918352784845,1.4528959526197072,3.9882462002339185,0.7045762565780268,3.3094786695030836
97529,41.408790588378906,2.1660659313201904,350,10,0,1,0,0.9034594517292615,1.539800548980691,1.9028733313641273,1.282751388619275,3.048826351733028,5.1563951560885135
110041,41.40271,2.16646,579,30,0,1,0,0.6695853893457583,0.9075054077967722,1.2311519313002444,1.7422858854465286,2.3790516933904184,4.5086331585324935
112538,41.40653,2.1746,412,18,0,2,0,0.32622785848636576,1.6374858098718652,1.8368097475789384,2.030012863208277,2.755424428872182,5.126361338503469
117010,41.40647,2.17457,415,18,0,2,0,0.3194442437446433,1.6307815185790309,1.8297182344931149,2.030687759028439,2.7486079232460354,5.119236670793822
118228,41.40653,2.1746,412,18,0,2,0,0.32622785848636576,1.6374858098718652,1.8368097475789384,2.030012863208277,2.755424428872182,5.126361338503469
128463,41.37155,2.13664,156,10,0,0,0,4.756452033283993,3.378688433064127,3.252594469963084,4.960164546326042,3.2018291264871155,1.5708331665474298
135513,41.39787,2.20429,147,3,0,1,0,2.573182953859264,3.547403259342516,3.356589394451377,4.683174411696127,3.1978082392879448,5.7800610177730976
136670,41.38832,2.12201,71,5,0,2,0,4.688719962554971,3.416902609188835,3.597627847923825,3.8764337751309914,4.27420065701459,3.7284181500652664
393717,41.3795,2.16568,575,120,0,15,3,2.7767699688533014,1.7849564442317278,1.358137938743562,4.039617014640819,0.623847721683048,2.095491578837653
399772,41.38268,2.15044,355,35,0,0,0,3.0669067167693487,1.6979918341507485,1.5688167461029547,3.543240601904547,1.8430945881686875,2.126676029996978
402369,41.38035,2.17821,590,99,0,27,2,2.6047449935167997,2.1482127588305753,1.6810127815777718,4.352841064955697,0.5029456363311672,2.85999325966669
408599,41.37374,2.15852,279,28,0,3,1,3.5748073852037314,2.413889965858312,2.066780748518291,4.558232433546295,1.4709984135759873,1.2447651094553573
417239,41.40413,2.15692,424,22,0,1,0,1.4590853203473186,1.066100050261996,1.534079131026399,1.2056023450069775,2.8025492446471354,4.523901648986847
424137,41.37973,2.17458,609,115,0,24,3,2.6542653713856983,2.02889319071845,1.55683733927576,4.275361281700513,0.28826438736212445,2.5892958109846536
424294,41.3884,2.17936,551,92,0,21,2,1.7400645435395137,1.6462214093811618,1.2608489108144143,3.65611654216785,0.9306623907758577,3.569350775609937
138055,41.40653,2.1746,412,18,0,2,0,0.32622785848636576,1.6374858098718652,1.8368097475789384,2.030012863208277,2.755424428872182,5.126361338503469
144471,41.38189,2.15857,531,64,0,7,2,2.751605089670135,1.5167804961123912,1.211926221742412,3.658973644030427,1.1622486388172923,2.102068005950861
147275,41.42337,2.1749,59,0,0,1,0,2.1987190847053624,3.3041703586601936,3.6189507543854353,2.097490968848444,4.626705320606128,6.910608069433577
153376,41.38706970214844,2.1768150329589844,637,134,0,27,2,1.849091411560059,1.5445354140260996,1.1194099485676317,3.653601235647814,0.6877148245162656,3.3209985439808856
425639,41.40864,2.14557,120,14,0,1,0,2.4688892441280177,2.013801791861774,2.479428096095684,0.8821174294291418,3.7353973022543165,5.038670519324224
432482,41.39144,2.16128,687,108,0,7,1,1.739506902191621,0.4323171400807242,0.30335886051312155,2.6621405477924442,1.4230864027472447,3.1870249178251893
438102,41.39829,2.1812,312,23,0,3,0,0.8187227979583637,1.6438373610942485,1.54455324031142,2.9830515217191165,1.972014302464383,4.553396468707695
439057,41.40002,2.1579,576,49,0,1,0,1.4326198873247324,0.6219138723015647,1.0939940797627077,1.6674846431550887,2.3638795606048637,4.077546417233177
443110,41.3879153,2.1522402,507,46,0,3,0,2.541350528181096,1.150482016799568,1.1368620590081133,2.9563325248252084,1.821888636533324,2.703740080505947
443222,41.40998,2.17553,354,16,0,1,0,0.7156559285234366,1.9891910430841901,2.2175969115055247,1.9690821846656816,3.143649584386241,5.512265766982313
443909,41.37733,2.17651,499,93,0,22,2,2.9263891219640725,2.340577524794659,1.8685249682089695,4.585538734045722,0.5991572793786322,2.538893653398117
449999,41.38946,2.17593,601,122,0,23,2,1.5774672370243548,1.3384441196260752,0.9532458433491254,3.3921132757108583,0.8985364990690745,3.491260843044895
154437,41.39202,2.15101,516,48,0,1,0,2.337600887842291,0.9788895205330016,1.1592360149595977,2.503632904589434,2.122640446459814,3.1617192429961722
162091,41.4064,2.17449,414,18,0,2,0,0.3114362643123921,1.620529706804297,1.819792170408775,2.0281433280758305,2.740427381660885,5.109557017501403
171646,41.40671,2.18592,286,10,0,2,0,1.0211301131472117,2.371385067553423,2.420667888164483,2.902640278098753,2.9875249028134836,5.558120211607248
171816,41.40681,2.18553,293,10,0,2,0,0.9945224208212353,2.3500040480081474,2.4049659499667557,2.8682780756280732,2.985841322655903,5.551343293639912
451758,41.38139,2.16692,645,136,0,20,3,2.547244467182557,1.6024134530666723,1.1587394664747774,3.8680097842145265,0.46777837527425914,2.3284785536316766
456333,41.39937,2.17599,419,32,0,3,0,0.4886926888303077,1.2593982515413698,1.2582220951999397,2.569675270686886,1.9752683204348136,4.4451879585386544
462062,41.37850578093848,2.151792572674604,299,33,0,1,0,3.367895025385422,2.0489789619413257,1.8298255269744585,4.003090205199675,1.766107655613542,1.6577958704653
469157,41.38046,2.17822,592,99,0,27,2,2.592707737538499,2.139291757424794,1.6724028362750711,4.342582714894139,0.4999549651145946,2.8686039131167136
469177,41.37501,2.16009,328,38,0,3,1,3.3958112991005587,2.2611927671520684,1.8987349478203508,4.434145649090326,1.2814794479263758,1.4293992693649409
469710,41.396084,2.168906,538,82,0,10,0,0.9531285604640604,0.5908654610314744,0.591018005844188,2.4536077450940343,1.616358925513482,3.8716638385314472
472062,41.39822,2.16081,671,53,0,3,0,1.2816840555525801,0.33717871510204134,0.8012534146270135,1.9324863167798816,2.069934289680881,3.916020355120016
473395,41.39871,2.15292,549,47,0,2,0,1.8722790487540497,0.8395470495274395,1.2673595293305977,1.7558637587319053,2.4906816829572125,3.9045160067891986
174382,41.40653,2.17455,414,18,0,2,0,0.3260412357120976,1.6347911325041007,1.8349765617605402,2.0262622594445983,2.7551624180082803,5.1248421601398375
188267,41.39258,2.17692,439,73,0,14,1,1.2432655374714852,1.2889016689405357,1.007455253292422,3.1656697448195774,1.2541151895161082,3.825987197129472
190348,41.38893,2.12443,84,6,0,1,0,4.475992039592675,3.204947611845638,3.3900681487421065,3.693748020007654,4.087967984242545,3.6471919752684463
473459,41.3990403,2.1527793,536,44,0,2,0,1.8732346096183894,0.8670392790115861,1.299382558287665,1.7190529295613652,2.526149231995976,3.9410779388287693
477256,41.40248,2.19668,200,2,0,2,0,1.8624239930179585,3.008854195145359,2.9092613174516777,3.903763140389717,3.0588056965120125,5.697537854900059
480975,41.37227,2.16574,245,33,0,3,1,3.5578590209946404,2.580781060429868,2.1616537910980917,4.820103318965862,1.2004499671911075,1.4852964194473661
481739,41.39776,2.16499,645,68,0,7,0,1.0186791537013546,0.3758416618105941,0.6738830746418721,2.124955232420301,1.8820083241329035,3.9454674342210954
482801,41.37349,2.13213,164,6,0,0,0,4.862553770265417,3.4713133871127706,3.4022016043339396,4.872244377861021,3.492804960856501,2.0035966516854593
485222,41.37811,2.12804,160,8,0,2,0,4.794798648210387,3.410725718310536,3.4263839174918598,4.539201516006575,3.73211076780457,2.582180605417487
487233,41.37243,2.16542,250,35,0,3,1,3.54598388097608,2.5599284945473118,2.143165399912133,4.796797255619657,1.197715516163545,1.4768512768329114
490517,41.40385,2.1691,538,23,0,1,0,0.4429131836049913,1.124507419541609,1.395700623433398,1.8091471989583754,2.4681976766011506,4.6924340404260665
490803,41.40347,2.17157,496,24,0,2,0,0.2364755719366197,1.2148483731100168,1.4221095549124576,1.995191740473558,2.410842590483927,4.718694779170847
196021,41.38842,2.16108,638,117,0,10,1,2.0207955388234087,0.7680731248166046,0.484324662798178,2.9830047828038664,1.2039847479871206,2.857588229567016
196196,41.4066,2.17459,412,18,0,2,0,0.33396094556063244,1.6428913530224316,1.8434347609846107,2.0258745376751905,2.7631396102268915,5.133306139405125
493122,41.4016,2.19424,209,5,0,3,0,1.6696363941499672,2.7869746707837315,2.6835171371270707,3.7495795999213577,2.852403865556405,5.49146218627511
494834,41.41011,2.16976,346,10,0,1,0,0.8208229297122301,1.772485232860973,2.086846738081765,1.5040962626311647,3.156214473936673,5.375156920811988
498416,41.38355,2.17156,734,156,0,28,3,2.2420097174804496,1.5350746939100017,1.0629991865048352,3.7839762257417897,0.2098003200411145,2.744210662984643
502436,41.37948,2.17666,587,103,0,23,3,2.6886395770792513,2.14724619627439,1.6759784942212053,4.376967406116988,0.4324537032981233,2.698872725874449
503765,41.39795,2.17166,498,62,0,6,0,0.6685273058391162,0.865796133255628,0.894957592764856,2.42632334450554,1.79716473081895,4.1503059993053055
504657,41.38467,2.18016,576,96,0,25,2,2.159061318397747,1.928080582553575,1.4938878601336505,4.030894993676186,0.7143245000908766,3.306373508841701
507667,41.39774,2.18218,265,19,0,3,0,0.9196042800788927,1.7132356565437765,1.5902050566318826,3.0851380310106227,1.9477320841959922,4.546180270742548
508212,41.39161,2.15782,652,89,0,7,0,1.9209596212544822,0.5330907920467151,0.5906931026661172,2.580826055982876,1.640046820002057,3.149671293783095
197267,41.40661,2.15115,291,14,0,1,0,1.9677694214495214,1.5445185415715934,2.0159429257936385,0.8867993556946128,3.2836558971399117,4.783295986033933
198958,41.40805,2.21487,44,7,0,0,0,3.4113190468661134,4.639937660201053,4.547188534890028,5.233981372895726,4.58377911194944,7.194797603606917
206122,41.39877,2.15887,631,55,0,3,0,1.4022398527096525,0.46125335380226407,0.9332889311654358,1.823219186453302,2.2030703952219217,3.9501218063844594
510923,41.42257,2.18047,70,1,0,1,0,2.169252991967644,3.404875528505079,3.669990761518691,2.4833853454044386,4.581894295915574,6.968325866686459
511739,41.40376,2.17292,479,21,0,2,0,0.12471319702420973,1.3152204683513575,1.498605133700757,2.066336568639704,2.442091920362426,4.788500798537069
512368,41.3757,2.17101,456,78,0,16,2,3.11520139175002,2.308139170682686,1.8507060664218833,4.576729468463828,0.6895878059276861,2.0673778497724866
512666,41.37779,2.16729,516,109,0,16,3,2.9305891180203827,1.9982737363701168,1.5595207058759646,4.259523474476869,0.6227181481635752,2.0187174293969483
512737,41.37701,2.16663,484,106,0,14,2,3.0268885822233766,2.0716839762403634,1.639817621672622,4.327607315985501,0.7235717516203104,1.916609500297267
