id,dist_to_sagrada_familia_km,dist_to_casa_mila_km,dist_to_casa_batllo_km,dist_to_parc_guell_km,dist_to_la_rambla_km,dist_to_montjuic_km
18674,0.26,1.45,1.67,1.94,2.64,4.97
23197,3.91,5.19,5.12,5.6,5.21,7.83
32711,0.42,1.34,1.61,1.76,2.66,4.91
34241,2.56,1.97,1.5,4.21,0.26,2.69
34981,2.65,2.1,1.63,4.33,0.38,2.69
36463,2.13,1.96,1.54,4.03,0.81,3.4
36763,2.92,2.93,2.51,4.95,1.55,3.74
40983,0.96,0.55,0.59,2.41,1.65,3.88
41952,0.47,1.31,1.6,1.71,2.67,4.89
49968,0.42,1.35,1.62,1.75,2.66,4.92
58512,1.06,2.44,2.6,2.46,3.37,5.85
331026,3.1,1.94,1.59,4.11,1.15,1.71
335861,2.48,3.64,3.53,4.46,3.58,6.2
337755,2.0,2.63,2.37,4.17,2.1,4.7
341563,4.33,2.96,3.02,3.99,3.48,2.77
343858,0.96,0.72,1.12,1.67,2.35,4.34
343861,0.86,0.59,0.92,1.93,2.1,4.19
343864,1.36,1.36,1.81,0.95,3.06,4.9
68547,2.57,2.11,1.65,4.32,0.47,2.86
71520,3.82,3.52,3.98,1.69,5.23,6.3
71553,0.73,1.08,1.01,2.67,1.71,4.17
71736,2.52,1.56,1.12,3.82,0.49,2.35
343866,1.56,1.1,1.57,1.19,2.84,4.5
343972,4.16,2.86,2.62,4.76,2.33,0.98
345129,2.07,1.38,0.91,3.62,0.38,2.87
346018,1.7,2.21,1.93,3.85,1.74,4.37
347824,3.33,3.21,2.76,5.31,1.66,3.54
351395,1.29,1.52,1.24,3.31,1.36,3.97
352772,3.1,1.74,1.58,3.63,1.78,2.03
353640,2.3,2.23,1.81,4.27,1.01,3.51
72436,2.79,3.81,3.63,4.87,3.48,6.06
72793,2.61,1.62,1.19,3.87,0.58,2.24
72794,2.49,1.5,1.07,3.76,0.57,2.35
73683,0.41,1.33,1.6,1.77,2.65,4.9
75411,1.07,2.42,2.46,2.94,3.02,5.59
80004,3.38,2.44,2.01,4.69,1.01,1.67
357576,1.63,1.23,1.71,1.06,2.98,4.62
359841,2.81,4.0,3.89,4.73,3.93,6.55
