id,dist_to_prague_castle_km,dist_to_charles_bridge_km,dist_to_old_town_square_km,dist_to_st._vitus_cathedral_km,dist_to_vysehrad_km,dist_to_petrin_tower_km
23163,1.39,0.55,0.7,1.35,2.0,1.41
23169,1.6,0.83,0.15,1.57,2.67,1.99
26755,2.26,1.46,0.76,2.22,2.71,2.6
30762,1.85,1.07,0.37,1.82,2.7,2.23
42514,1.28,0.49,0.8,1.24,2.03,1.26
52148,3.12,2.3,2.07,3.08,1.04,2.9
55844,2.75,1.86,1.4,2.71,1.85,2.78
55856,2.81,1.93,1.52,2.76,1.65,2.78
70003,3.64,2.83,2.14,3.61,3.28,3.94
75298,2.32,1.66,1.0,2.3,3.26,2.81
79373,1.71,0.94,0.25,1.67,2.7,2.1
79381,1.66,0.94,0.29,1.63,2.8,2.09
79387,1.66,0.94,0.29,1.63,2.8,2.09
79711,1.5,0.71,0.9,1.45,1.81,1.39
83067,1.16,0.31,0.66,1.11,2.22,1.26
83855,1.16,0.31,0.66,1.11,2.22,1.26
83856,1.24,0.37,0.61,1.19,2.18,1.34
85790,1.73,1.03,1.23,1.68,1.49,1.46
98852,1.57,0.72,0.18,1.54,2.4,1.84
106207,3.61,2.83,2.13,3.58,3.45,3.96
109549,1.77,1.11,0.5,1.75,3.0,2.26
111141,3.71,2.9,2.21,3.68,3.36,4.01
112281,2.29,1.41,1.04,2.24,1.74,2.3
117451,2.68,2.34,2.71,2.64,1.19,1.97
146690,3.25,2.42,1.75,3.21,2.99,3.53
167878,5.28,4.73,4.06,5.27,5.87,5.87
173114,1.65,1.01,0.43,1.62,2.98,2.15
176243,1.64,0.87,0.17,1.6,2.67,2.02
181641,1.06,0.21,0.49,1.02,2.52,1.37
181951,2.2,1.32,0.78,2.16,2.15,2.36
182072,3.6,2.73,2.12,3.57,2.68,3.75
182772,1.15,0.34,0.74,1.11,2.17,1.2
183338,2.43,1.54,1.11,2.38,1.82,2.47
186750,3.8,2.98,2.3,3.77,3.35,4.09
191254,1.42,0.62,0.82,1.38,1.91,1.37
199947,1.82,0.95,0.78,1.78,1.8,1.82
202545,1.27,0.97,1.53,1.23,1.95,0.77
207373,1.77,1.08,1.29,1.73,1.43,1.48
208007,1.78,1.09,1.28,1.74,1.43,1.5
209774,1.81,0.98,0.93,1.77,1.65,1.73
224386,1.3,0.76,0.47,1.28,3.01,1.85
224457,0.8,0.11,0.74,0.76,2.62,1.14
247267,2.42,1.61,0.92,2.38,2.74,2.74
254484,0.54,0.53,1.23,0.5,2.63,0.64
278550,1.69,0.83,0.73,1.65,1.85,1.69
278580,1.9,1.05,0.92,1.86,1.65,1.84
279773,1.3,0.59,0.26,1.27,2.75,1.74
287716,1.39,0.55,0.7,1.35,2.0,1.41
287727,1.85,1.07,0.37,1.82,2.7,2.23
287734,1.85,1.07,0.37,1.82,2.7,2.23
304027,2.34,1.53,1.43,2.3,1.18,2.14
318204,2.91,2.05,1.76,2.86,1.3,2.77
320262,2.78,1.93,1.64,2.74,1.33,2.66
324586,2.28,1.62,0.96,2.25,3.24,2.77
342963,10.25,9.37,8.78,10.21,8.18,10.28
342968,10.18,9.3,8.72,10.14,8.11,10.22
346142,1.88,1.2,1.39,1.83,1.32,1.55
374937,2.42,1.53,1.14,2.37,1.73,2.43
408724,3.55,2.76,2.06,3.51,3.42,3.89
415145,1.63,1.0,0.44,1.6,3.0,2.14
448629,0.34,0.96,1.64,0.33,2.98,0.48
458931,2.24,1.39,0.76,2.21,2.36,2.47
465196,1.39,0.7,0.24,1.36,2.8,1.84
474544,11.59,10.72,10.1,11.55,9.72,11.69
493375,3.59,2.88,2.18,3.57,3.81,4.03
498646,2.35,1.67,1.78,2.31,0.84,1.96
531975,4.3,3.56,2.86,4.27,4.22,4.7
535968,3.96,3.13,2.46,3.92,3.42,4.23
536364,1.82,0.95,0.74,1.78,1.83,1.84
537019,1.39,0.55,0.7,1.35,2.0,1.41
546405,3.19,2.31,1.76,3.15,2.17,3.26
547555,1.32,0.44,0.45,1.28,2.25,1.49
549347,1.35,0.5,0.24,1.31,2.44,1.63
549837,1.37,0.5,0.28,1.33,2.38,1.62
551794,1.35,0.5,0.23,1.31,2.44,1.63
551962,1.23,0.37,0.36,1.19,2.43,1.5
552021,1.33,0.44,0.45,1.29,2.25,1.5
595310,3.94,3.09,2.45,3.91,3.07,4.14
599948,2.28,1.41,0.82,2.24,2.24,2.46
602115,1.3,0.46,0.26,1.27,2.47,1.6
604720,1.34,0.45,0.39,1.3,2.29,1.54
604777,1.33,0.44,0.4,1.29,2.29,1.52
604792,1.27,0.44,0.27,1.24,2.49,1.58
605711,1.44,0.56,0.3,1.4,2.31,1.66
628063,0.43,1.2,1.87,0.45,3.2,0.58
647564,1.77,1.04,0.37,1.74,2.83,2.2
652527,2.92,2.07,1.76,2.88,1.34,2.8
652633,2.85,2.01,1.74,2.81,1.22,2.69
659531,1.83,1.02,0.33,1.79,2.6,2.17
659540,1.77,1.02,0.33,1.74,2.77,2.17
660960,3.3,2.43,2.02,3.26,1.67,3.23
661323,0.47,0.54,1.23,0.43,2.7,0.67
662810,0.44,1.2,1.87,0.45,3.19,0.58
662817,0.45,1.21,1.88,0.46,3.2,0.58
667478,3.0,2.18,1.98,2.95,0.97,2.77
668858,1.33,0.71,0.35,1.3,2.89,1.83
668880,1.38,0.76,0.36,1.35,2.92,1.88
668902,1.38,0.76,0.36,1.35,2.92,1.88
668908,1.38,0.76,0.36,1.35,2.92,1.88
673821,2.77,1.91,1.58,2.73,1.45,2.68
679022,3.64,2.93,2.24,3.61,3.91,4.09
679276,1.41,1.04,1.55,1.37,1.8,0.91
681166,3.16,2.34,2.11,3.12,1.02,2.93
690105,1.33,0.64,0.26,1.3,2.78,1.78
691240,2.61,1.73,1.36,2.57,1.62,2.58
691380,6.64,6.05,5.38,6.63,6.96,7.2
692045,1.88,2.34,3.03,1.88,3.2,1.19
695142,2.81,2.37,1.8,2.8,4.19,3.46
696261,1.81,1.04,0.33,1.78,2.69,2.19
696837,1.27,0.47,0.78,1.23,2.05,1.26
699944,6.45,5.57,4.98,6.41,4.66,6.52
701644,3.11,2.28,2.04,3.07,1.08,2.9
706726,2.81,1.95,1.65,2.77,1.35,2.69
707963,0.17,0.85,1.51,0.15,3.03,0.66
708571,2.8,1.93,1.58,2.75,1.49,2.72
711288,2.81,1.95,1.65,2.77,1.35,2.69
733462,2.18,1.29,0.93,2.13,1.8,2.2
735375,2.03,1.18,1.03,1.98,1.55,1.94
747785,2.81,1.95,1.65,2.77,1.35,2.69
747830,2.81,1.95,1.65,2.77,1.35,2.69
757660,5.79,6.51,7.21,5.81,7.32,5.39
777881,3.21,2.4,1.72,3.18,3.05,3.52
780659,3.37,2.56,1.87,3.34,3.12,3.67
780866,3.18,2.39,1.69,3.15,3.14,3.51
782440,3.22,2.43,1.73,3.19,3.15,3.55
782489,3.23,2.41,1.73,3.2,2.98,3.52
782770,3.33,2.5,1.83,3.29,3.04,3.61
790196,1.77,0.9,0.67,1.73,1.91,1.82
797201,1.58,0.8,0.1,1.55,2.62,1.95
814677,1.55,0.7,0.18,1.52,2.39,1.82
814687,1.55,0.7,0.18,1.52,2.39,1.82
814691,1.55,0.7,0.18,1.52,2.39,1.82
818081,1.83,1.13,0.47,1.8,2.91,2.28
820954,0.66,0.22,0.88,0.62,2.67,1.02
822456,1.79,1.09,1.27,1.74,1.43,1.5
843670,1.74,0.86,0.38,1.7,2.23,1.94
847192,2.79,1.92,1.58,2.75,1.47,2.71
855669,1.91,1.21,0.54,1.88,2.95,2.36
874150,0.35,0.95,1.64,0.34,2.97,0.48
874212,2.47,2.1,1.61,2.46,4.1,3.15
874482,2.28,1.89,1.4,2.27,3.9,2.94
876329,0.34,0.96,1.64,0.33,2.98,0.48
882759,2.81,1.95,1.65,2.77,1.35,2.69
888475,3.4,2.55,1.9,3.37,2.84,3.63
933489,2.81,1.95,1.65,2.77,1.35,2.69
933583,2.81,1.95,1.65,2.77,1.35,2.69
933836,3.04,2.21,1.98,3.0,1.05,2.83
935534,3.77,3.1,3.11,3.73,0.61,3.28
939413,2.77,1.92,1.65,2.73,1.28,2.63
970935,1.28,0.65,0.35,1.25,2.86,1.77
976660,1.58,1.55,1.43,1.58,3.97,2.36
977301,2.81,1.95,1.65,2.77,1.35,2.69
987875,10.06,9.4,8.71,10.04,9.85,10.56
991924,1.97,1.31,0.66,1.95,3.08,2.46
993197,4.12,4.48,5.14,4.12,4.35,3.38
994758,1.57,1.07,1.48,1.53,1.6,1.14
995953,3.47,2.69,2.55,3.43,0.76,3.14
1000103,2.42,2.12,1.68,2.42,4.21,3.13
