id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
22375770,41.37891,2.17722,576,99,0,23,2
22375775,41.38649,2.16556,668,144,0,22,2
22377961,41.41145,2.2166,36,5,0,0,0
22383062,41.378,2.16761,530,110,0,16,3
22383717,41.40787,2.18902,220,5,0,1,0
22384512,41.41167,2.17237,284,9,0,1,0
22385084,41.36152,2.1462,38,1,0,1,0
22393434,41.38079076232964,2.152090406376923,349,34,0,0,0
22395048,41.3870187980297,2.151700593531132,490,43,0,2,0
21970272,41.38147,2.16437,622,122,0,15,3
21971059,41.37579,2.13189,159,9,0,0,0
21976308,41.38709,2.18078,531,88,0,23,2
21993053,41.40225,2.16886,565,31,0,1,0
21993691,41.40427,2.16686,554,24,0,1,0
21995015,41.40569,2.17549,419,19,0,2,0
22003742,41.41891,2.1521,35,1,0,1,0
22005332,41.38126,2.17807,604,102,0,28,2
22005342,41.37763,2.19119,181,4,0,2,0
22005348,41.38268,2.182,550,84,0,23,1
22395831,41.39604,2.175,434,55,0,8,0
22396050,41.39597,2.17512,434,54,0,8,0
22396061,41.39556,2.17501,436,61,0,8,0
22398599,41.38905,2.17505,625,129,0,29,2
22409751,41.39895,2.17096,509,57,0,4,0
22409838,41.3758,2.17091,459,80,0,16,2
22409839,41.41673,2.16054,52,1,0,1,0
22441576,41.38096,2.1698,662,138,0,22,3
22005351,41.38268,2.182,550,84,0,23,1
22005529,41.38176,2.16813,677,142,0,22,3
22023759,41.38621,2.17982,572,106,0,25,2
22023894,41.42768,2.17294,38,0,0,0,0
22026733,41.40019,2.16032,575,49,0,2,0
22030277,41.38805,2.18067,499,81,0,23,2
22039238,41.39951,2.15574,583,51,0,2,0
22043311,41.37955,2.17034,618,129,0,19,3
22094381,41.37351,2.14298,177,15,0,1,0
22452714,41.38024,2.15923,516,64,0,5,1
22453174,41.37235,2.16806,235,41,0,3,1
22458687,41.38268,2.17096,710,152,0,27,3
22463569,41.40765,2.1785,388,19,0,2,0
22474807,41.40867,2.1782,379,19,0,2,0
22475001,41.40878,2.17813,377,17,0,1,0
22475072,41.40852,2.17811,382,19,0,2,0
22475121,41.40893,2.18027,352,14,0,2,0
22477276,41.39001,2.16555,657,132,0,13,2
22488537,41.38506,2.16553,686,135,0,22,2
22515389,41.37952,2.18938,287,17,0,6,0
22537657,41.40481,2.15667,410,18,0,1,0
22101214,41.40510940551758,2.1757800579071045,424,19,0,2,0
22112085,41.38693,2.17674,639,134,0,27,2
22115035,41.37557,2.16612,408,72,0,10,1
22118041,41.41523,2.18999,121,4,0,1,0
22135358,41.40046,2.19437,199,5,0,2,0
22141782,41.38414,2.18166,542,88,0,25,1
22142518,41.373,2.13433,166,9,0,0,0
22142749,41.38249,2.17949,599,99,0,27,2
22144268,41.420837,2.11723,1,0,0,0,0
22154964,41.38408,2.18172,541,87,0,25,1
22548858,41.37834,2.17478,563,103,0,22,3
22556484,41.39251,2.16313,670,105,0,7,1
22565018,41.38588,2.16557,679,140,0,22,2
22570100,41.37962,2.15571,393,38,0,2,1
22578622,41.40339,2.1986,191,2,0,2,0
22589617,41.3863,2.16004,610,102,0,10,1
22594095,41.40617,2.18019,391,21,0,3,0
22595319,41.40716,2.2003,164,4,0,2,0
22600751,41.37196,2.16517,238,29,0,3,1
22603850,41.38963,2.18091,421,67,0,17,1
22155071,41.3809,2.17191,667,135,0,24,3
22155702,41.38421,2.18168,543,87,0,25,1
22156189,41.40682,2.15207,292,12,0,1,0
22161280,41.39967,2.15798,592,50,0,1,0
22166975,41.40441,2.17208,475,21,0,2,0
22170061,41.37481,2.1392,180,17,0,0,0
22182637,41.37445,2.15465,288,27,0,2,1
22188551,41.37599,2.16029,365,42,0,5,1
22196835,41.38033,2.18967,297,16,0,8,0
22199234,41.40922,2.16062,292,6,0,1,0
22604862,41.39044,2.17448,573,118,0,26,2
22608577,41.41299,2.16448,190,7,0,1,0
22626822,41.41957,2.17577,83,3,0,1,0
22201334,41.38879,2.1679,667,144,0,22,2
22206606,41.39724,2.18477,193,15,0,2,0
22218299,41.37418,2.1298,155,6,0,0,0
22219831,41.40243,2.17077,521,26,0,2,0
22234830,41.40183,2.17262,475,28,0,2,0
22235245,41.4039,2.17227,485,22,0,2,0
22235396,41.40368,2.17099,500,23,0,2,0
22235502,41.40405,2.17128,490,22,0,2,0
22235675,41.40389,2.17211,486,23,0,2,0
22629034,41.37337,2.13358,170,7,0,0,0
22629847,41.38225,2.16823,689,151,0,22,3
22663879,41.40396,2.15871,454,21,0,1,0
22665692,41.38863,2.18389,396,43,0,18,0
22666588,41.37491,2.13081,149,7,0,0,0
