id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
16645612,50.08876,14.42245,483,139,0,49,0
16646435,50.08161,14.45405,151,31,0,2,0
16658722,50.07844543457031,14.428387641906738,407,153,0,26,0
16682952,50.07295,14.47072,46,2,4,1,0
16721201,50.10218,14.39693,62,3,0,1,0
16721301,50.08294,14.50534,20,0,0,0,0
16736550,50.07092217964566,14.431670038975476,199,95,0,11,0
16747846,50.08379,14.46743,62,8,0,0,0
16751211,50.0706,14.43577,187,81,0,9,0
16823659,50.09162,14.43456,280,65,0,22,0
16907495,50.08028,14.40471,239,78,0,23,0
16911351,50.08244,14.42358,564,172,0,49,0
16920695,50.092567443847656,14.430987358093262,307,71,0,24,0
16921137,50.07205,14.4288,238,108,0,14,0
16942918,50.06294,14.44477,69,10,0,0,0
16959475,50.09171,14.42114,374,102,0,43,0
16960252,50.08841,14.40616,229,91,0,37,0
16960255,50.09171,14.42114,374,102,0,43,0
16968572,50.07315444946289,14.409692764282228,214,45,0,5,0
16979990,50.09595,14.34338,8,2,0,0,0
16980652,50.07988,14.41899,445,151,0,47,0
16981902,50.06881,14.40171,124,0,0,4,0
17003901,50.08359909057617,14.36306095123291,25,3,0,1,0
17037987,50.07257,14.41865,253,104,0,15,0
17045009,50.07358,14.405,176,33,0,5,0
17093827,50.08942,14.42342,463,133,0,47,0
17094474,50.07054,14.37057,11,1,0,0,0
17107450,50.08258,14.40531,252,97,0,30,0
17167567,50.07732,14.41923,377,145,0,27,0
17183122,50.09052,14.48678,18,3,0,0,0
17184605,50.08707,14.43399,368,97,0,29,0
17193798,50.12722,14.51004,0,0,0,0,0
17223023,50.08997,14.42233,430,128,0,48,0
17245371,50.08836,14.41563,433,133,0,52,0
17247456,50.07916,14.42024,429,153,0,45,0
17274978,50.09055,14.42404,395,112,0,45,0
17280996,50.08104,14.42478,540,180,0,50,0
17281002,50.07855,14.42438,454,177,0,36,0
17281007,50.07758,14.43074,352,139,0,21,0
17281024,50.0724,14.47003,51,2,4,2,0
17281083,50.09057,14.42546,384,109,0,42,0
17297065,50.08443,14.41253,462,135,0,50,0
17300350,50.09132,14.42679,376,99,0,31,0
17300879,50.08176,14.45207,156,30,0,2,0
17306044,50.08996,14.43238,348,85,0,26,0
17309014,50.09694,14.40715,79,19,0,11,0
17337529,50.08401,14.44557,209,46,0,2,0
17341580,50.08256,14.4441,216,51,0,3,0
17341611,50.09051,14.40261,156,62,0,30,0
17375372,50.0782,14.4148,382,116,0,30,0
17383493,50.08369,14.46674,70,10,0,0,0
17390994,50.090213775634766,14.432634353637695,334,83,0,26,0
17398524,50.06173,14.44984,57,8,0,1,0
17404811,50.08768,14.42013,485,154,0,51,0
17445365,50.07314,14.40752,200,39,0,5,0
17450816,50.06609,14.43065,112,60,0,10,0
17456985,50.08055,14.42975,460,159,0,36,0
17478381,50.10292,14.42661,65,5,0,5,0
17502201,50.07779,14.43852,274,101,0,7,0
17504528,50.0782,14.4148,382,116,0,30,0
17505141,50.0782,14.4148,382,116,0,30,0
17505592,50.07658,14.4294,339,141,0,24,0
17505669,50.0782,14.4148,382,116,0,30,0
17506430,50.08738,14.45356,174,36,0,2,0
17506536,50.07659,14.42936,341,142,0,23,0
17506942,50.07656,14.4294,339,141,0,24,0
17507030,50.07656,14.4294,339,141,0,24,0
17507152,50.07658,14.42938,340,141,0,23,0
17507345,50.07653,14.4294,339,141,0,24,0
17512083,50.08182,14.44519,200,43,0,3,0
17512448,50.0875,14.46095,114,27,0,1,0
17518555,50.12443,14.49044,17,2,0,0,0
17519659,50.07725,14.406,219,52,0,9,0
17529107,50.0828,14.43017,517,170,0,36,0
17536999,50.07911,14.41608,419,134,0,34,0
17607569,50.10353,14.47571,39,9,0,1,0
17613011,50.07903,14.42701,456,170,0,35,0
17645713,50.09149,14.43356,289,67,0,24,0
17646116,50.080931882228704,14.421839503543875,494,170,0,48,0
17648206,50.07737,14.43469,303,115,0,13,0
17673614,50.07225,14.45698,128,9,0,2,0
17675851,50.08971,14.42506,436,120,0,45,0
17691837,50.07558,14.44491,226,38,0,2,0
17694279,50.07785,14.43873,272,100,0,7,0
17712118,50.0821,14.46644,73,9,4,1,0
17724334,50.07678,14.42951,342,141,0,24,0
17724611,50.07685,14.4294,343,144,0,24,0
17728193,50.07681,14.4294,343,143,0,24,0
17728360,50.07676,14.4294,340,143,0,24,0
17728466,50.0768,14.4294,343,143,0,24,0
17728749,50.07678,14.42938,343,143,0,24,0
17729194,50.07676,14.42945,340,143,0,24,0
17729271,50.07662,14.42945,340,141,0,23,0
17729430,50.07692,14.42938,349,144,0,24,0
17729521,50.0769,14.4294,346,144,0,24,0
17742468,50.0782,14.4148,382,116,0,30,0
17769203,50.08796,14.4257,483,133,0,48,0
17776122,50.09451,14.53828,5,0,0,0,0
17792892,50.09108,14.42726,382,102,0,31,0
17793216,50.06582,14.45591,68,7,0,1,0
17799663,50.0782,14.4148,382,116,0,30,0
17803849,50.07567,14.46625,75,5,4,2,0
17807933,50.08537,14.44332,239,59,0,5,0
17809879,50.09229,14.42793,361,83,0,29,0
17810336,50.07576,14.44608,220,31,0,2,0
17858081,50.09011,14.42774,400,109,0,33,0
17859870,50.07761,14.42652,416,157,0,27,0
17876879,50.05723,14.47091,2,4,0,1,0
17899079,50.09137,14.42144,383,104,0,45,0
17899870,50.07901,14.42852,435,158,0,32,0
17901536,50.08949,14.42051,435,134,0,50,0
17906735,50.08999,14.41891,404,128,0,53,0
17933064,50.08198,14.43843,305,80,0,12,0
17940120,50.08776473999024,14.409294128417969,319,114,0,48,0
17949569,50.07216,14.4394,200,76,0,5,0
17955644,50.09016929323767,14.460603383863129,116,25,0,0,0
17967510,50.08185,14.41865,512,163,0,49,0
17993294,50.02912,14.44876,7,2,0,0,0
18004919,50.06192,14.44338,60,11,0,0,0
18027226,50.07798,14.43487,315,118,0,13,0
18029821,50.078,14.42466,434,163,0,29,0
18030938,50.07815,14.42525,443,165,0,30,0
18037810,50.07315,14.41561,257,71,0,14,0
18051811,50.08886,14.40848,290,104,0,42,0
18063331,50.09178,14.43169,316,75,0,24,0
18074135,50.07057,14.40902,171,33,0,6,0
18081993,50.08818660738032,14.415602206369432,437,135,0,53,0
18099955,50.07634,14.42863,346,143,0,24,0
18118471,50.0782,14.4148,382,116,0,30,0
18144124,50.08148,14.42529,560,179,0,50,0
18152448,50.06313,14.41034,87,14,0,5,0
18169765,50.06148,14.40831,57,8,0,4,0
18175634,50.08835,14.41854,462,147,0,53,0
18177688,50.08118,14.42058,486,159,0,48,0
18189174,50.07957,14.43578,330,113,0,15,0
18192643,50.11165,14.50375,29,1,0,0,0
18207571,50.05385,14.41954,29,6,1,1,0
18220414,50.11052,14.45058,45,4,0,1,0
18234663,50.12019,14.46014,21,3,0,0,0
18237528,50.09349,14.43538,235,54,0,11,0
18263406,50.08195,14.38034,29,6,0,3,0
18263492,50.08351792149575,14.466592222452164,72,11,0,0,0
18265005,50.08101,14.45697,147,31,0,1,0
18266947,50.08101,14.45697,147,31,0,1,0
18281713,49.95309,14.3756,0,0,0,0,0
18286999,50.09313,14.44629,150,35,0,1,0
18297813,50.09769,14.36333,10,3,0,0,0
18303496,50.08707,14.43399,368,97,0,29,0
18316419,50.08202,14.4389,295,78,0,11,0
18341071,50.04513,14.27788,1,0,0,0,0
18343688,50.08845,14.46984,35,7,0,0,0
