id,latitude,longitude,restaurant_count,hotel_count,park_count,museum_count,shopping_center_count
9449441,50.08644,14.41895,518,158,0,54,0
9458692,50.09047,14.42689,393,109,0,34,0
9462397,50.07761,14.43229,324,127,0,17,0
9470517,50.03879,14.55674,9,1,0,0,0
9477340,50.07887,14.45219,176,29,0,1,0
9490020,50.0874,14.42158,510,152,0,52,0
9538290,50.08597,14.41942,535,162,0,56,0
9538581,50.08454,14.41947,545,169,0,53,0
9538775,50.08629,14.42107,529,160,0,54,0
9539344,50.08634,14.41963,524,162,0,56,0
9540317,50.08615,14.42125,534,164,0,54,0
9555189,50.08527,14.42164,540,167,0,53,0
9566794,50.086613,14.454355,172,34,0,2,0
9571502,50.10924,14.4765,40,3,0,1,0
9591030,50.04958,14.34858,19,1,0,0,0
9610891,50.07736783849822,14.408127442002296,260,64,0,14,0
9647441,50.07141,14.40663,163,30,0,5,0
9664960,50.10236,14.40174,60,3,0,2,0
9707970,50.07144,14.39684,105,16,0,3,0
9714939,50.0651,14.43883,101,37,0,3,0
9719280,50.086609,14.454103,173,34,0,2,0
9720097,50.086601,14.454022,174,34,0,2,0
9721451,50.086601,14.454038,174,34,0,2,0
9726456,50.086605,14.454113,173,34,0,2,0
9734234,50.07909,14.44921,201,32,0,2,0
9744256,50.086609,14.454038,174,34,0,2,0
9766084,50.08702,14.41893,493,152,0,53,0
9766458,50.06931,14.4317,169,90,0,11,0
9769608,50.08662,14.454011,174,34,0,2,0
9770167,50.086597,14.454108,173,34,0,2,0
9770551,50.0891,14.42299,477,137,0,47,0
9782842,50.08381,14.42009,547,167,0,54,0
9787752,50.086617,14.453941,174,34,0,2,0
9800210,50.10565,14.37488,6,2,0,0,0
9800994,50.086609,14.453925,174,34,0,2,0
9808136,50.06234,14.32564,1,1,0,0,0
9808678,50.11004,14.55773,6,0,0,0,0
9818113,50.10524,14.37477,8,2,0,0,0
9818781,50.08589,14.42192,535,165,0,53,0
9822158,50.10555,14.37269,6,1,0,0,0
9824987,50.06145,14.43706,65,15,0,2,0
9825087,50.09058,14.43998,216,57,0,6,0
9829761,50.09095,14.44064,206,55,0,6,0
9830902,50.08264,14.40584,261,106,0,30,0
9831643,50.09298,14.43002,310,68,0,25,0
9834111,50.07486,14.42025,314,131,0,22,0
9836425,50.07765,14.45901,131,13,0,2,0
9839921,50.09621,14.46627,52,9,0,0,0
9847685,50.08523,14.44939,181,38,0,2,0
9847734,50.08521,14.44939,181,38,0,2,0
9847765,50.08515,14.44943,180,38,0,2,0
9862069,50.086678,14.453786,174,34,0,2,0
9869722,50.09032,14.42032,404,121,0,47,0
9905699,50.07324759433491,14.40622956157141,189,35,0,5,0
9921914,50.08076979493994,14.42154411651968,491,169,0,49,0
9924392,50.08457,14.41963,544,169,0,53,0
9955791,50.08223,14.44579,189,42,0,2,0
9961665,50.09952,14.37958,20,3,0,1,0
9963665,50.07238,14.43159,218,99,0,13,0
9983965,50.08889,14.42486,472,131,0,48,0
9985378,50.07904,14.42519,463,180,0,37,0
9990108,50.08159,14.44919,164,30,0,2,0
10009684,50.08946350936565,14.49391409902857,16,2,0,0,0
10083386,50.08229,14.41477,489,152,0,48,0
10119165,50.07989,14.42278,475,174,0,47,0
10119768,50.07903,14.45245,172,29,0,1,0
10154981,50.07472,14.42939,293,123,0,17,0
10203116,50.073471,14.433439,222,98,0,13,0
10208211,50.07472,14.42939,293,123,0,17,0
10217742,50.07537,14.42221,335,134,0,23,0
10220556,50.09182,14.43272,295,69,0,23,0
10244453,50.08051,14.41625,464,149,0,45,0
10276444,50.0978,14.39622,65,5,0,10,0
10312861,50.07142,14.41098,190,37,0,8,0
10337647,50.08027,14.40453,233,76,0,23,0
10371474,50.10603,14.38757,30,4,0,0,0
10404157,50.08674,14.4306,451,126,0,37,0
10443055,50.03837,14.48164,13,2,0,0,0
10443100,50.03851,14.48191,14,2,0,0,0
10447436,50.07396,14.42857,297,124,0,18,0
10554713,50.03664,14.4832,11,2,0,0,0
10556608,50.03776,14.48336,12,2,0,0,0
10584480,50.08596,14.4165,510,153,0,54,0
10605330,50.1016954597751,14.420439096434036,55,5,0,5,0
10610426,50.0898,14.42113,430,129,0,47,0
10624026,50.084267,14.416807,531,166,0,53,0
10693291,50.10341,14.37696,14,2,0,0,0
10707220,50.07731,14.46384,90,9,2,1,0
10735916,50.11674,14.56745,3,0,0,0,0
10741211,50.08229,14.41552,499,154,0,49,0
10741215,50.08229,14.41552,499,154,0,49,0
